,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Labour Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Resident Labour Force Aged 15 Years And Over By Highest Qualification Attained (HQA) And Sex, End June, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 28/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand
  Post-Secondary (Non-Tertiary),163.4,163.2,163.1,159.6,166,160.2,163.7,160.4,162,163.2,153.8,154,156.2,153.2,154,92.1,116.5,99,96.1,168.7,92.8,90.1,91.5,90.4,151.8,78.5,82.4,83.5
  Diploma & Professional Qualification,263.9,261.5,260.2,258.2,250.6,253.8,239.3,231,238.8,230.9,230.5,213.8,216,209.3,202.6,187,176,164.6,159.5,110,142.1,134,128.2,125.3,82.3,113.3,102.8,96
  Degree,531.2,520.7,523,506.7,469.8,448.8,442.8,428.4,394.5,380.8,375.9,362,337.4,316.9,311.7,294.3,277.3,247.4,251.3,218.3,216.1,204.4,179.3,164.4,142.5,141.5,130.3,119.2
Female Residents In The Labour Force,1165,1150.8,1137.6,1122.2,1085.4,1077.4,1049.1,1031,1033.1,1016.1,982.6,955.7,942,919.7,895.7,859,835.1,799.6,799.7,734.9,715.8,700,675,670.2,634.8,639.5,614.8,602.8
  Below Secondary,124.6,133,136.6,131,142,151.4,159.7,170.7,179.6,171.3,175.1,174.4,180,182.2,184.8,188.4,179.8,na,na,na,na,na,na,na,na,na,na,na
  Secondary,155.3,154.8,159.4,173.4,180,185.6,183.2,183.5,189.3,201.5,192.4,195.9,198.5,203.7,197.6,222.2,216.6,213.9,213.4,182.1,196.1,205.5,208.4,211,186.5,212.2,208.8,204.7
  Post-Secondary (Non-Tertiary),118.6,114.8,115,108.2,103.2,101.6,100.6,96.7,98.3,104.5,96.5,93.7,97.8,92,92,62.5,69.5,66.1,66.6,141.5,60.6,61.8,60,58.4,130.3,60.1,71.4,71.6
  Diploma & Professional Qualification,237.2,235.9,235.5,225.9,213.7,214.9,207.4,198.5,200,200.2,195.6,180.2,180.8,169.6,167.7,149.2,148,135.7,129.5,74.5,115.7,107.5,94.6,95.8,47.9,82.1,60.6,52.4
  Degree,529.3,512.2,491.2,483.6,446.5,423.9,398.2,381.7,365.9,338.7,323,311.6,284.9,272.2,253.6,236.6,221.2,190.3,189.4,165.6,157.5,144.3,129.4,114.4,102.3,91.5,86.2,75.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions and Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residents comprise Singapore citizens and Permanent Residents. Data are based on mid-year Comprehensive Labour Force Survey except Census Years 2000 & General Household Surveys 2005. June 2007 data have been adjusted based on latest revised population estimates from DOS to facilitate comparisons with June 2008 onwards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Residents In The Labour Force -> Post-Secondary (Non-Tertiary) (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data prior 1999 includes other diploma and professional qualifications.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male Residents In The Labour Force -> Post-Secondary (Non-Tertiary) (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data prior 1999 includes other diploma and professional qualifications.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female Residents In The Labour Force -> Post-Secondary (Non-Tertiary) (Thousand):,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data prior 1999 includes other diploma and professional qualifications.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highest Qualification Attained:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Highest Qualification Attained (HQA) refers to the highest grade or standard a person has passed or the highest level where a vocational/skill certificate, diploma, or degree is awarded. This is achieved either through full-time or part-time study in a structured educational programme. The Singapore Standard Educational Classification (SSEC) is used to classify persons by HQA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 11/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
